"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime"
"2015-05-15","129.07","129.49","128.21","128.77","119.64","38208000","38208000","0.3","0.232","128.82333","May 15, 15","0.00232"
"2015-05-18","128.38","130.72","128.36","130.19","120.96","50882900","50882900","-1.81","-1.41","129.75667","May 18, 15","-0.0141"
"2015-05-19","130.69","130.88","129.64","130.07","120.85","44633200","44633200","0.62","0.474","130.19667","May 19, 15","0.00474"
"2015-05-20","130.0","130.98","129.34","130.06","120.84","36454900","36454900","-0.06","-0.046","130.12667","May 20, 15","-0.00046"
"2015-05-21","130.07","131.63","129.83","131.39","122.07","39730400","39730400","-1.32","-1.015","130.95","May 21, 15","-0.01015"
"2015-05-22","131.6","132.97","131.4","132.54","123.14","45596000","45596000","-0.94","-0.714","132.30333","May 22, 15","-0.00714"
"2015-05-26","132.6","132.91","129.12","129.62","120.43","70697600","70697600","2.98","2.247","130.55","May 26, 15","0.02247"
"2015-05-27","130.34","132.26","130.05","132.04","122.68","45833200","45833200","-1.7","-1.304","131.45","May 27, 15","-0.01304"
"2015-05-28","131.86","131.95","131.1","131.78","122.43","30733300","30733300","0.08","0.061","131.61","May 28, 15","0.00061"
"2015-05-29","131.23","131.45","129.9","130.28","121.04","50884500","50884500","0.95","0.724","130.54333","May 29, 15","0.00724"
"2015-06-01","130.28","131.39","130.05","130.54","121.28","32112800","32112800","-0.26","-0.2","130.66","June 01, 15","-0.002"
"2015-06-02","129.86","130.66","129.32","129.96","120.74","33667600","33667600","-0.1","-0.077","129.98","June 02, 15","-0.00077"
"2015-06-03","130.66","130.94","129.9","130.12","120.89","30983500","30983500","0.54","0.413","130.32","June 03, 15","0.00413"
"2015-06-04","129.58","130.58","128.91","129.36","120.19","38450100","38450100","0.22","0.17","129.61667","June 04, 15","0.0017"
"2015-06-05","129.5","129.69","128.36","128.65","119.53","35626800","35626800","0.85","0.656","128.9","June 05, 15","0.00656"
"2015-06-08","128.9","129.21","126.83","127.8","118.74","52674800","52674800","1.1","0.853","127.94667","June 08, 15","0.00853"
"2015-06-09","126.7","128.08","125.62","127.42","118.38","56075400","56075400","-0.72","-0.568","127.04","June 09, 15","-0.00568"
